nodeId:ID,location,centroid,lng,lat,:LABEL
南京_元通地铁站_10,"[[118.7242832, 31.9929411], [118.7260793, 31.9951317], [118.7258143, 32.001507], [118.7242933, 32.0068193], [118.7240112, 32.0069752], [118.72161682784439, 32.00651776404435], [118.7098985, 32.0053033], [118.705299, 32.0037989], [118.7053455, 32.0035895], [118.70718142063113, 31.996930759084105], [118.7085475, 31.9892146], [118.708833, 31.9889076], [118.7134268, 31.9885826], [118.7176452, 31.9894148], [118.7219982, 31.9905062], [118.7242832, 31.9929411]]","(118.7161165017006, 31.997971406833397)",118.7161165017006,31.997971406833397,staion_isochrone
南京_元通地铁站_5,"[[118.7098577, 32.0004019], [118.7112709, 31.9925964], [118.7119545, 31.9919811], [118.7129181, 31.9914801], [118.719936, 31.9918448], [118.72060450925183, 31.992567322884486], [118.7239278, 31.99292], [118.7216184, 32.0040021], [118.71972600294663, 32.00373452963472], [118.7195601, 32.0039525], [118.7160002, 32.0036994], [118.7137718, 32.002913], [118.7098454, 32.0005521], [118.709845, 32.0005173], [118.7098577, 32.0004019]]","(118.71685545160963, 31.99752350058704)",118.71685545160963,31.99752350058704,staion_isochrone
南京_八卦洲大桥南地铁站_10,"[[118.8254045, 32.1416318], [118.8282644, 32.1407363], [118.8370997, 32.1427648], [118.8399772, 32.1443117], [118.8435067, 32.1558981], [118.8419256, 32.1560044], [118.8385353, 32.1555684], [118.8375697, 32.1545965], [118.8254045, 32.1416318]]","(118.83573785398396, 32.147727054745026)",118.83573785398396,32.147727054745026,staion_isochrone
南京_八卦洲大桥南地铁站_5,"[[118.8386104, 32.1521985], [118.8313289, 32.1433425], [118.8377996, 32.1464874], [118.8408387, 32.1490782], [118.8426231, 32.1535156], [118.8399944, 32.152907], [118.8393078, 32.15258], [118.8386104, 32.1521985]]","(118.837830826737, 32.14886530952962)",118.837830826737,32.14886530952962,staion_isochrone
南京_八百桥地铁站_10,"[[118.9214099, 32.423003], [118.9214303, 32.4202743], [118.9255114, 32.4202864], [118.9293414, 32.4203091], [118.9307559, 32.421152], [118.9391574, 32.4270653], [118.93813651936439, 32.43178310183433], [118.9388918, 32.4365863], [118.9386983, 32.4366854], [118.9302109, 32.4404672], [118.9214027, 32.424], [118.9214099, 32.423003]]","(118.93069103217651, 32.42932054414433)",118.93069103217651,32.42932054414433,staion_isochrone
南京_八百桥地铁站_5,"[[118.9214027, 32.424], [118.9254869, 32.4230826], [118.92736595601977, 32.42421111845657], [118.9279045, 32.4233689], [118.929612, 32.423778], [118.9357524, 32.4304343], [118.936121, 32.434058], [118.9359732, 32.4341895], [118.9282098, 32.4297498], [118.9253059, 32.4274328], [118.9214027, 32.424]]","(118.92959593501561, 32.42778474645265)",118.92959593501561,32.42778474645265,staion_isochrone
南京_六合开发区地铁站_10,"[[118.8007341, 32.2994351], [118.8071929, 32.3038758], [118.8101255, 32.3065267], [118.8091468, 32.314842], [118.8044476, 32.3159705], [118.7921188, 32.3009446], [118.79238, 32.3007199], [118.8007341, 32.2994351]]","(118.80262623619588, 32.30697478299192)",118.80262623619588,32.30697478299192,staion_isochrone
南京_六合开发区地铁站_5,"[[118.7968761, 32.3024102], [118.8007029, 32.3028288], [118.8066007, 32.3036121], [118.8071929, 32.3038758], [118.8046319, 32.3108566], [118.8040724, 32.3113634], [118.8037782, 32.3115128], [118.8007987, 32.3089122], [118.7950049, 32.3035692], [118.7968761, 32.3024102]]","(118.80182722699867, 32.30597709669712)",118.80182722699867,32.30597709669712,staion_isochrone
南京_兰花塘地铁站_10,"[[118.562175, 31.9524612], [118.5629201, 31.9521689], [118.5632077, 31.9521986], [118.5687625, 31.9531178], [118.5693665, 31.953721], [118.5725066, 31.956907], [118.5777012, 31.9623098], [118.5767555, 31.9675264], [118.5762839, 31.9678342], [118.5603319, 31.9652878], [118.5602489, 31.9650044], [118.562175, 31.9524612]]","(118.56834483970438, 31.96067301028776)",118.56834483970438,31.96067301028776,staion_isochrone
南京_兰花塘地铁站_5,"[[118.5651669, 31.9551644], [118.5662342, 31.9548426], [118.5725066, 31.956907], [118.5726475, 31.9570696], [118.5765957, 31.9630238], [118.5746567, 31.9654604], [118.5735926, 31.9652953], [118.5629869, 31.9634501], [118.5629226, 31.9633405], [118.5641146, 31.9563552], [118.5643593, 31.9558019], [118.5646624, 31.9554212], [118.5648044, 31.9553489], [118.5651669, 31.9551644]]","(118.56924492772788, 31.96051080645057)",118.56924492772788,31.96051080645057,staion_isochrone
